participant,video_id,actual_category,watched_video,valance,arousal,intensity,category
0882d888-639f-40ee-9967-a03bd261ade8,Disgust_11_1940,disgust,1940.mp4,1,4,5,disgust
0882d888-639f-40ee-9967-a03bd261ade8,Surprise_4_1436,surprise,1436.mp4,5,5,3,happiness
0882d888-639f-40ee-9967-a03bd261ade8,Joy_8_1712,happiness,1712.mp4,5,5,5,sadness
0882d888-639f-40ee-9967-a03bd261ade8,Anger_8_0971,anger,0971.mp4,1,4,5,anger
0882d888-639f-40ee-9967-a03bd261ade8,Fear_6_0687,fear,0687.mp4,2,6,6,surprise
0882d888-639f-40ee-9967-a03bd261ade8,Surprise_2_1277,surprise,1277.mp4,4,2,1,neutral
0882d888-639f-40ee-9967-a03bd261ade8,Anger_7_0414,anger,0414.mp4,1,6,7,anger
0882d888-639f-40ee-9967-a03bd261ade8,Disgust_2_0713,disgust,0713.mp4,3,2,1,disgust
0882d888-639f-40ee-9967-a03bd261ade8,Sadness_8_0226,sadness,0226.mp4,1,5,5,sadness
0882d888-639f-40ee-9967-a03bd261ade8,Fear_3_0025,fear,0025.mp4,4,3,1,neutral
0882d888-639f-40ee-9967-a03bd261ade8,Anger_12_0595,anger,0595.mp4,1,7,7,surprise
0882d888-639f-40ee-9967-a03bd261ade8,Joy_1_1032,happiness,1032.mp4,7,6,7,happiness
0882d888-639f-40ee-9967-a03bd261ade8,Joy_5_0380,happiness,0380.mp4,7,6,6,happiness
0882d888-639f-40ee-9967-a03bd261ade8,Sadness_3_0975,sadness,0975.mp4,5,5,3,sadness
0882d888-639f-40ee-9967-a03bd261ade8,Disgust_0_0187,disgust,0187.mp4,2,5,4,disgust
0882d888-639f-40ee-9967-a03bd261ade8,Sadness_12_1587,sadness,1587.mp4,3,5,4,surprise
0882d888-639f-40ee-9967-a03bd261ade8,Surprise_7_1002,surprise,1002.mp4,7,6,5,happiness
0882d888-639f-40ee-9967-a03bd261ade8,Fear_5_0137,fear,0137.mp4,4,4,4,neutral
13a53543-3f09-4793-88d4-b8c7276cf920,Fear_7_1779,fear,1779.mp4,4,1,1,neutral
13a53543-3f09-4793-88d4-b8c7276cf920,Surprise_1_0976,surprise,0976.mp4,5,5,2,neutral
13a53543-3f09-4793-88d4-b8c7276cf920,Anger_2_0681,anger,0681.mp4,3,5,5,disgust
13a53543-3f09-4793-88d4-b8c7276cf920,Surprise_0_0509,surprise,0509.mp4,3,3,2,surprise
13a53543-3f09-4793-88d4-b8c7276cf920,Sadness_9_1164,sadness,1164.mp4,4,1,1,neutral
13a53543-3f09-4793-88d4-b8c7276cf920,Sadness_2_1259,sadness,1259.mp4,3,2,2,sadness
13a53543-3f09-4793-88d4-b8c7276cf920,Joy_5_0380,happiness,0380.mp4,4,3,2,happiness
13a53543-3f09-4793-88d4-b8c7276cf920,Fear_8_0190,fear,0190.mp4,4,1,1,neutral
13a53543-3f09-4793-88d4-b8c7276cf920,Sadness_15_1485,sadness,1485.mp4,4,5,2,surprise
13a53543-3f09-4793-88d4-b8c7276cf920,Disgust_7_1425,disgust,1425.mp4,2,3,4,disgust
