model,frame,axis,value
affectnet7,0,Neutral,0.36245831847190857
affectnet7,0,Happy,0.47710782289505005
affectnet7,0,Sad,0.05628294125199318
affectnet7,0,Surprise,0.0016538846539333463
affectnet7,0,Fear,0.0024688232224434614
affectnet7,0,Disgust,0.010348317213356495
affectnet7,0,Angry,0.08967993408441544
affectnet7,1,Neutral,0.3714985251426697
affectnet7,1,Happy,0.4879996180534363
affectnet7,1,Sad,0.04732947424054146
affectnet7,1,Surprise,0.0013303508749231696
affectnet7,1,Fear,0.0018647541292011738
affectnet7,1,Disgust,0.008107948116958141
affectnet7,1,Angry,0.08186926692724228
affectnet7,2,Neutral,0.3742069900035858
affectnet7,2,Happy,0.4469546675682068
affectnet7,2,Sad,0.062251362949609756
affectnet7,2,Surprise,0.0017764178337529302
affectnet7,2,Fear,0.002942955819889903
affectnet7,2,Disgust,0.011619353666901588
affectnet7,2,Angry,0.10024827718734741
affectnet7,3,Neutral,0.4176233410835266
affectnet7,3,Happy,0.366292268037796
affectnet7,3,Sad,0.08092848211526871
affectnet7,3,Surprise,0.0019019499886780977
affectnet7,3,Fear,0.0031109123956412077
affectnet7,3,Disgust,0.011658864095807076
affectnet7,3,Angry,0.11848416924476624
affectnet7,4,Neutral,0.4104800522327423
affectnet7,4,Happy,0.4020843803882599
affectnet7,4,Sad,0.059691090136766434
affectnet7,4,Surprise,0.001759858219884336
affectnet7,4,Fear,0.002654740586876869
affectnet7,4,Disgust,0.012525344267487526
affectnet7,4,Angry,0.11080452799797058
affectnet7,5,Neutral,0.42835307121276855
affectnet7,5,Happy,0.3671609163284302
affectnet7,5,Sad,0.06744743883609772
affectnet7,5,Surprise,0.0017172080697491765
affectnet7,5,Fear,0.0028029780369251966
affectnet7,5,Disgust,0.010673383250832558
affectnet7,5,Angry,0.12184500694274902
affectnet7,6,Neutral,0.3843020796775818
affectnet7,6,Happy,0.44650208950042725
affectnet7,6,Sad,0.054733555763959885
affectnet7,6,Surprise,0.0019167028367519379
affectnet7,6,Fear,0.0031503820791840553
affectnet7,6,Disgust,0.011274697259068489
affectnet7,6,Angry,0.09812050312757492
affectnet7,7,Neutral,0.3870823383331299
affectnet7,7,Happy,0.4400585889816284
affectnet7,7,Sad,0.06037953123450279
affectnet7,7,Surprise,0.001712361234240234
affectnet7,7,Fear,0.003106706077232957
affectnet7,7,Disgust,0.010870976373553276
affectnet7,7,Angry,0.0967894196510315
affectnet7,8,Neutral,0.39858099818229675
affectnet7,8,Happy,0.4257473349571228
affectnet7,8,Sad,0.07244352996349335
affectnet7,8,Surprise,0.0017013098113238811
affectnet7,8,Fear,0.0031847248319536448
affectnet7,8,Disgust,0.010889849625527859
affectnet7,8,Angry,0.08745210617780685
affectnet7,9,Neutral,0.4039842188358307
affectnet7,9,Happy,0.4501795172691345
affectnet7,9,Sad,0.07151786983013153
affectnet7,9,Surprise,0.0013935533352196217
affectnet7,9,Fear,0.0021771728061139584
affectnet7,9,Disgust,0.008368583396077156
affectnet7,9,Angry,0.06237905099987984
affectnet7,10,Neutral,0.41893842816352844
affectnet7,10,Happy,0.4423762857913971
affectnet7,10,Sad,0.08283733576536179
affectnet7,10,Surprise,0.0014752886490896344
affectnet7,10,Fear,0.0021708535496145487
affectnet7,10,Disgust,0.005814454983919859
affectnet7,10,Angry,0.04638725891709328
affectnet7,11,Neutral,0.41686737537384033
affectnet7,11,Happy,0.4426616430282593
affectnet7,11,Sad,0.083132304251194
affectnet7,11,Surprise,0.001381243928335607
affectnet7,11,Fear,0.001938745379447937
affectnet7,11,Disgust,0.006709044333547354
affectnet7,11,Angry,0.0473097525537014
affectnet7,12,Neutral,0.4278731942176819
affectnet7,12,Happy,0.43002885580062866
affectnet7,12,Sad,0.08313653618097305
affectnet7,12,Surprise,0.0010406022192910314
affectnet7,12,Fear,0.0015338766388595104
affectnet7,12,Disgust,0.006077344063669443
affectnet7,12,Angry,0.050309374928474426
affectnet7,13,Neutral,0.44109591841697693
affectnet7,13,Happy,0.4261753559112549
affectnet7,13,Sad,0.07906246185302734
affectnet7,13,Surprise,0.0011992459185421467
affectnet7,13,Fear,0.0016546223778277636
affectnet7,13,Disgust,0.0058120000176131725
affectnet7,13,Angry,0.04500042647123337
affectnet7,14,Neutral,0.4192909002304077
affectnet7,14,Happy,0.4384772777557373
affectnet7,14,Sad,0.08558716624975204
affectnet7,14,Surprise,0.0016579851508140564
affectnet7,14,Fear,0.0023768809624016285
affectnet7,14,Disgust,0.007802171632647514
affectnet7,14,Angry,0.044807564467191696
affectnet7,15,Neutral,0.43095478415489197
affectnet7,15,Happy,0.4320214092731476
affectnet7,15,Sad,0.0806950181722641
affectnet7,15,Surprise,0.0010648543247953057
affectnet7,15,Fear,0.0013772014062851667
affectnet7,15,Disgust,0.006211491767317057
